NyTIMESName,USCensusCountyName,State,FIPS
Ballard,Ballard County,Kentucky,21007
Baltimore,Baltimore County,Maryland,24005
Baltimore city,Baltimore city,Maryland,24510
Bamberg,Bamberg County,South Carolina,45009
Bandera,Bandera County,Texas,48019
Banks,Banks County,Georgia,13011
Bannock,Bannock County,Idaho,16005
Baraga,Baraga County,Michigan,26013
Barber,Barber County,Kansas,20007
Barbour,Barbour County,Alabama,1005
Barbour,Barbour County,West Virginia,54001
Barnes,Barnes County,North Dakota,38003
Barnstable,Barnstable County,Massachusetts,25001
Barnwell,Barnwell County,South Carolina,45011
Barren,Barren County,Kentucky,21009
Barron,Barron County,Wisconsin,55005
Barrow,Barrow County,Georgia,13013
Barry,Barry County,Michigan,26015
Barry,Barry County,Missouri,29009
Bartholomew,Bartholomew County,Indiana,18005
Barton,Barton County,Kansas,20009
Bartow,Bartow County,Georgia,13015
Bastrop,Bastrop County,Texas,48021
Bates,Bates County,Missouri,29013
Bath,Bath County,Kentucky,21011
Baxter,Baxter County,Arkansas,5005
Bay,Bay County,Florida,12005
Bay,Bay County,Michigan,26017
Bayfield,Bayfield County,Wisconsin,55007
Beadle,Beadle County,South Dakota,46005
Beaufort,Beaufort County,North Carolina,37013
Beaufort,Beaufort County,South Carolina,45013
Beauregard,Beauregard Parish,Louisiana,22011
Beaver,Beaver County,Oklahoma,40007
Beaver,Beaver County,Pennsylvania,42007
Beaverhead,Beaverhead County,Montana,30001
Becker,Becker County,Minnesota,27005
Beckham,Beckham County,Oklahoma,40009
Bedford,Bedford County,Pennsylvania,42009
Bedford,Bedford County,Tennessee,47003
Bedford,Bedford County,Virginia,51019
Bee,Bee County,Texas,48025
Belknap,Belknap County,New Hampshire,33001
Bell,Bell County,Kentucky,21013
Bell,Bell County,Texas,48027
Belmont,Belmont County,Ohio,39013
Beltrami,Beltrami County,Minnesota,27007
Ben Hill,Ben Hill County,Georgia,13017
Benewah,Benewah County,Idaho,16009
Bennington,Bennington County,Vermont,50003
Benson,Benson County,North Dakota,38005
Bent,Bent County,Colorado,8011
Benton,Benton County,Arkansas,5007
Benton,Benton County,Indiana,18007
Benton,Benton County,Iowa,19011
Benton,Benton County,Minnesota,27009
Benton,Benton County,Mississippi,28009
Benton,Benton County,Missouri,29015
Benton,Benton County,Oregon,41003
Benton,Benton County,Tennessee,47005
Benton,Benton County,Washington,53005
Benzie,Benzie County,Michigan,26019
Bergen,Bergen County,New Jersey,34003
Berkeley,Berkeley County,South Carolina,45015
Berkeley,Berkeley County,West Virginia,54003
Berks,Berks County,Pennsylvania,42011
Berkshire,Berkshire County,Massachusetts,25003
Bernalillo,Bernalillo County,New Mexico,35001
Berrien,Berrien County,Georgia,13019
Berrien,Berrien County,Michigan,26021
Bertie,Bertie County,North Carolina,37015
Bethel Census Area,Bethel Census Area,Alaska,2050
Bexar,Bexar County,Texas,48029
Bibb,Bibb County,Alabama,1007
Bibb,Bibb County,Georgia,13021
Bienville,Bienville Parish,Louisiana,22013
Big Horn,Big Horn County,Montana,30003
Big Horn,Big Horn County,Wyoming,56003
Big Stone,Big Stone County,Minnesota,27011
Bingham,Bingham County,Idaho,16011
Black Hawk,Black Hawk County,Iowa,19013
Blackford,Blackford County,Indiana,18009
Bladen,Bladen County,North Carolina,37017
Blaine,Blaine County,Idaho,16013
Blaine,Blaine County,Oklahoma,40011
Blair,Blair County,Pennsylvania,42013
Blanco,Blanco County,Texas,48031
Bleckley,Bleckley County,Georgia,13023
Bledsoe,Bledsoe County,Tennessee,47007
Blount,Blount County,Alabama,1009
Blount,Blount County,Tennessee,47009
Blue Earth,Blue Earth County,Minnesota,27013
Bolivar,Bolivar County,Mississippi,28011
Bollinger,Bollinger County,Missouri,29017
Bon Homme,Bon Homme County,South Dakota,46009
Bond,Bond County,Illinois,17005
Bonner,Bonner County,Idaho,16017
Bonneville,Bonneville County,Idaho,16019
Boone,Boone County,Arkansas,5009
Boone,Boone County,Illinois,17007
Boone,Boone County,Indiana,18011
Boone,Boone County,Iowa,19015
Boone,Boone County,Kentucky,21015
Boone,Boone County,Missouri,29019
Boone,Boone County,Nebraska,31011
Boone,Boone County,West Virginia,54005
Bosque,Bosque County,Texas,48035
Bossier,Bossier Parish,Louisiana,22015
Botetourt,Botetourt County,Virginia,51023
Bottineau,Bottineau County,North Dakota,38009
Boulder,Boulder County,Colorado,8013
Bourbon,Bourbon County,Kansas,20011
Bourbon,Bourbon County,Kentucky,21017
Bowie,Bowie County,Texas,48037
Bowman,Bowman County,North Dakota,38011
Box Butte,Box Butte County,Nebraska,31013
Box Elder,Box Elder County,Utah,49003
Boyd,Boyd County,Kentucky,21019
Boyd,Boyd County,Nebraska,31015
Boyle,Boyle County,Kentucky,21021
Bracken,Bracken County,Kentucky,21023
Bradford,Bradford County,Florida,12007
Bradford,Bradford County,Pennsylvania,42015
Bradley,Bradley County,Arkansas,5011
Bradley,Bradley County,Tennessee,47011
Branch,Branch County,Michigan,26023
Brantley,Brantley County,Georgia,13025
Braxton,Braxton County,West Virginia,54007
Brazoria,Brazoria County,Texas,48039
Brazos,Brazos County,Texas,48041
Breathitt,Breathitt County,Kentucky,21025
Breckinridge,Breckinridge County,Kentucky,21027
Bremer,Bremer County,Iowa,19017
Brevard,Brevard County,Florida,12009
Brewster,Brewster County,Texas,48043
Briscoe,Briscoe County,Texas,48045
Bristol,Bristol County,Massachusetts,25005
Bristol,Bristol County,Rhode Island,44001
Bristol Bay Borough,Bristol Bay Borough,Alaska,2060
Bristol city,Bristol city,Virginia,51520
Broadwater,Broadwater County,Montana,30007
Brooke,Brooke County,West Virginia,54009
Brookings,Brookings County,South Dakota,46011
Brooks,Brooks County,Georgia,13027
Brooks,Brooks County,Texas,48047
Broome,Broome County,New York,36007
Broomfield,Broomfield County,Colorado,8014
Broward,Broward County,Florida,12011
Brown,Brown County,Illinois,17009
Brown,Brown County,Indiana,18013
Brown,Brown County,Kansas,20013
Brown,Brown County,Minnesota,27015
Brown,Brown County,Ohio,39015
Brown,Brown County,South Dakota,46013
Brown,Brown County,Texas,48049
Brown,Brown County,Wisconsin,55009
Brunswick,Brunswick County,North Carolina,37019
Brunswick,Brunswick County,Virginia,51025
Bryan,Bryan County,Georgia,13029
Bryan,Bryan County,Oklahoma,40013
Buchanan,Buchanan County,Iowa,19019
Buchanan,Buchanan County,Missouri,29021
Buchanan,Buchanan County,Virginia,51027
Buckingham,Buckingham County,Virginia,51029
Bucks,Bucks County,Pennsylvania,42017
Buena Vista,Buena Vista County,Iowa,19021
Buena Vista city,Buena Vista city,Virginia,51530
Buffalo,Buffalo County,Nebraska,31019
Buffalo,Buffalo County,South Dakota,46017
Buffalo,Buffalo County,Wisconsin,55011
Bullitt,Bullitt County,Kentucky,21029
Bulloch,Bulloch County,Georgia,13031
Bullock,Bullock County,Alabama,1011
Buncombe,Buncombe County,North Carolina,37021
Bureau,Bureau County,Illinois,17011
Burke,Burke County,Georgia,13033
Burke,Burke County,North Carolina,37023
Burke,Burke County,North Dakota,38013
Burleigh,Burleigh County,North Dakota,38015
Burleson,Burleson County,Texas,48051
Burlington,Burlington County,New Jersey,34005
Burnet,Burnet County,Texas,48053
Burnett,Burnett County,Wisconsin,55013
Burt,Burt County,Nebraska,31021
Butler,Butler County,Alabama,1013
Butler,Butler County,Iowa,19023
Butler,Butler County,Kansas,20015
Butler,Butler County,Kentucky,21031
Butler,Butler County,Missouri,29023
Butler,Butler County,Nebraska,31023
Butler,Butler County,Ohio,39017
Butler,Butler County,Pennsylvania,42019
Butte,Butte County,California,6007
Butts,Butts County,Georgia,13035
Cabarrus,Cabarrus County,North Carolina,37025
Cabell,Cabell County,West Virginia,54011
Cache,Cache County,Utah,49005
Caddo,Caddo County,Oklahoma,40015
Caddo,Caddo Parish,Louisiana,22017
Calaveras,Calaveras County,California,6009
Calcasieu,Calcasieu Parish,Louisiana,22019
Caldwell,Caldwell County,Kentucky,21033
Caldwell,Caldwell County,Missouri,29025
Caldwell,Caldwell County,North Carolina,37027
Caldwell,Caldwell County,Texas,48055
Caldwell,Caldwell Parish,Louisiana,22021
Caledonia,Caledonia County,Vermont,50005
Calhoun,Calhoun County,Alabama,1015
Calhoun,Calhoun County,Florida,12013
Calhoun,Calhoun County,Georgia,13037
Calhoun,Calhoun County,Illinois,17013
Calhoun,Calhoun County,Iowa,19025
Calhoun,Calhoun County,Michigan,26025
Calhoun,Calhoun County,Mississippi,28013
Calhoun,Calhoun County,South Carolina,45017
Calhoun,Calhoun County,Texas,48057
Calhoun,Calhoun County,West Virginia,54013
Callahan,Callahan County,Texas,48059
Callaway,Callaway County,Missouri,29027
Calloway,Calloway County,Kentucky,21035
Calumet,Calumet County,Wisconsin,55015
Calvert,Calvert County,Maryland,24009
Camas,Camas County,Idaho,16025
Cambria,Cambria County,Pennsylvania,42021
Camden,Camden County,Georgia,13039
Camden,Camden County,Missouri,29029
Camden,Camden County,New Jersey,34007
Camden,Camden County,North Carolina,37029
Cameron,Cameron County,Pennsylvania,42023
Cameron,Cameron County,Texas,48061
Cameron,Cameron Parish,Louisiana,22023
Camp,Camp County,Texas,48063
Campbell,Campbell County,Kentucky,21037
Campbell,Campbell County,Tennessee,47013
Campbell,Campbell County,Virginia,51031
Campbell,Campbell County,Wyoming,56005
Canadian,Canadian County,Oklahoma,40017
Candler,Candler County,Georgia,13043
Cannon,Cannon County,Tennessee,47015
Canyon,Canyon County,Idaho,16027
Cape Girardeau,Cape Girardeau County,Missouri,29031
Cape May,Cape May County,New Jersey,34009
Carbon,Carbon County,Montana,30009
Carbon,Carbon County,Pennsylvania,42025
Carbon,Carbon County,Utah,49007
Carbon,Carbon County,Wyoming,56007
Caribou,Caribou County,Idaho,16029
Carlisle,Carlisle County,Kentucky,21039
Carlton,Carlton County,Minnesota,27017
Caroline,Caroline County,Maryland,24011
Caroline,Caroline County,Virginia,51033
Carroll,Carroll County,Arkansas,5015
Carroll,Carroll County,Georgia,13045
Carroll,Carroll County,Illinois,17015
Carroll,Carroll County,Indiana,18015
Carroll,Carroll County,Iowa,19027
Carroll,Carroll County,Kentucky,21041
Carroll,Carroll County,Maryland,24013
Carroll,Carroll County,Mississippi,28015
Carroll,Carroll County,Missouri,29033
Carroll,Carroll County,New Hampshire,33003
Carroll,Carroll County,Ohio,39019
Carroll,Carroll County,Tennessee,47017
Carroll,Carroll County,Virginia,51035
Carson,Carson County,Texas,48065
Carson City,Carson City,Nevada,32510
Carter,Carter County,Kentucky,21043
Carter,Carter County,Missouri,29035
Carter,Carter County,Oklahoma,40019
Carter,Carter County,Tennessee,47019
Carteret,Carteret County,North Carolina,37031
Carver,Carver County,Minnesota,27019
Cascade,Cascade County,Montana,30013
Casey,Casey County,Kentucky,21045
Cass,Cass County,Illinois,17017
Cass,Cass County,Indiana,18017
Cass,Cass County,Iowa,19029
Cass,Cass County,Michigan,26027
Cass,Cass County,Minnesota,27021
Cass,Cass County,Missouri,29037
Cass,Cass County,Nebraska,31025
Cass,Cass County,North Dakota,38017
Cass,Cass County,Texas,48067
Cassia,Cassia County,Idaho,16031
Castro,Castro County,Texas,48069
Caswell,Caswell County,North Carolina,37033
Catahoula,Catahoula Parish,Louisiana,22025
Catawba,Catawba County,North Carolina,37035
Catoosa,Catoosa County,Georgia,13047
Catron,Catron County,New Mexico,35003
Cattaraugus,Cattaraugus County,New York,36009
Cayuga,Cayuga County,New York,36011
Cecil,Cecil County,Maryland,24015
Cedar,Cedar County,Iowa,19031
Cedar,Cedar County,Missouri,29039
Cedar,Cedar County,Nebraska,31027
Centre,Centre County,Pennsylvania,42027
Cerro Gordo,Cerro Gordo County,Iowa,19033
Chaffee,Chaffee County,Colorado,8015
Chambers,Chambers County,Alabama,1017
Chambers,Chambers County,Texas,48071
Champaign,Champaign County,Illinois,17019
Champaign,Champaign County,Ohio,39021
Chariton,Chariton County,Missouri,29041
Charles,Charles County,Maryland,24017
Charles City,Charles City County,Virginia,51036
Charles Mix,Charles Mix County,South Dakota,46023
Charleston,Charleston County,South Carolina,45019
Charlevoix,Charlevoix County,Michigan,26029
Charlotte,Charlotte County,Florida,12015
Charlotte,Charlotte County,Virginia,51037
Charlottesville city,Charlottesville city,Virginia,51540
Charlton,Charlton County,Georgia,13049
Chase,Chase County,Kansas,20017
Chase,Chase County,Nebraska,31029
Chatham,Chatham County,Georgia,13051
Chatham,Chatham County,North Carolina,37037
Chattahoochee,Chattahoochee County,Georgia,13053
Chattooga,Chattooga County,Georgia,13055
Chautauqua,Chautauqua County,Kansas,20019
Chautauqua,Chautauqua County,New York,36013
Chaves,Chaves County,New Mexico,35005
Cheatham,Cheatham County,Tennessee,47021
Cheboygan,Cheboygan County,Michigan,26031
Chelan,Chelan County,Washington,53007
Chemung,Chemung County,New York,36015
Chenango,Chenango County,New York,36017
Cherokee,Cherokee County,Alabama,1019
Cherokee,Cherokee County,Georgia,13057
Cherokee,Cherokee County,Iowa,19035
Cherokee,Cherokee County,Kansas,20021
Cherokee,Cherokee County,North Carolina,37039
Cherokee,Cherokee County,Oklahoma,40021
Cherokee,Cherokee County,South Carolina,45021
Cherokee,Cherokee County,Texas,48073
Cherry,Cherry County,Nebraska,31031
Chesapeake city,Chesapeake city,Virginia,51550
Cheshire,Cheshire County,New Hampshire,33005
Chester,Chester County,Pennsylvania,42029
Chester,Chester County,South Carolina,45023
Chester,Chester County,Tennessee,47023
Chesterfield,Chesterfield County,South Carolina,45025
Chesterfield,Chesterfield County,Virginia,51041
Cheyenne,Cheyenne County,Colorado,8017
Cheyenne,Cheyenne County,Kansas,20023
Cheyenne,Cheyenne County,Nebraska,31033
Chickasaw,Chickasaw County,Iowa,19037
Chickasaw,Chickasaw County,Mississippi,28017
Chicot,Chicot County,Arkansas,5017
Childress,Childress County,Texas,48075
Chilton,Chilton County,Alabama,1021
Chippewa,Chippewa County,Michigan,26033
Chippewa,Chippewa County,Minnesota,27023
Chippewa,Chippewa County,Wisconsin,55017
Chisago,Chisago County,Minnesota,27025
Chittenden,Chittenden County,Vermont,50007
Choctaw,Choctaw County,Alabama,1023
Choctaw,Choctaw County,Mississippi,28019
Choctaw,Choctaw County,Oklahoma,40023
Chowan,Chowan County,North Carolina,37041
Christian,Christian County,Illinois,17021
Christian,Christian County,Kentucky,21047
Christian,Christian County,Missouri,29043
Churchill,Churchill County,Nevada,32001
Cibola,Cibola County,New Mexico,35006
Cimarron,Cimarron County,Oklahoma,40025
Citrus,Citrus County,Florida,12017
Clackamas,Clackamas County,Oregon,41005
Claiborne,Claiborne County,Mississippi,28021
Claiborne,Claiborne County,Tennessee,47025
Claiborne,Claiborne Parish,Louisiana,22027
Clallam,Clallam County,Washington,53009
Clare,Clare County,Michigan,26035
Clarendon,Clarendon County,South Carolina,45027
Clarion,Clarion County,Pennsylvania,42031
Clark,Clark County,Arkansas,5019
Clark,Clark County,Illinois,17023
Clark,Clark County,Indiana,18019
Clark,Clark County,Kansas,20025
Clark,Clark County,Kentucky,21049
Clark,Clark County,Missouri,29045
Clark,Clark County,Nevada,32003
Clark,Clark County,Ohio,39023
Clark,Clark County,South Dakota,46025
Clark,Clark County,Washington,53011
Clark,Clark County,Wisconsin,55019
Clarke,Clarke County,Alabama,1025
Clarke,Clarke County,Georgia,13059
Clarke,Clarke County,Iowa,19039
Clarke,Clarke County,Mississippi,28023
Clarke,Clarke County,Virginia,51043
Clatsop,Clatsop County,Oregon,41007
Clay,Clay County,Alabama,1027
Clay,Clay County,Arkansas,5021
Clay,Clay County,Florida,12019
Clay,Clay County,Georgia,13061
Clay,Clay County,Illinois,17025
Clay,Clay County,Indiana,18021
Clay,Clay County,Iowa,19041
Clay,Clay County,Kansas,20027
Clay,Clay County,Kentucky,21051
Clay,Clay County,Minnesota,27027
Clay,Clay County,Mississippi,28025
Clay,Clay County,Missouri,29047
Clay,Clay County,Nebraska,31035
Clay,Clay County,North Carolina,37043
Clay,Clay County,South Dakota,46027
Clay,Clay County,Tennessee,47027
Clay,Clay County,Texas,48077
Clay,Clay County,West Virginia,54015
Clayton,Clayton County,Georgia,13063
Clayton,Clayton County,Iowa,19043
Clear Creek,Clear Creek County,Colorado,8019
Clearfield,Clearfield County,Pennsylvania,42033
Clearwater,Clearwater County,Minnesota,27029
Cleburne,Cleburne County,Alabama,1029
Cleburne,Cleburne County,Arkansas,5023
Clermont,Clermont County,Ohio,39025
Cleveland,Cleveland County,Arkansas,5025
Cleveland,Cleveland County,North Carolina,37045
Cleveland,Cleveland County,Oklahoma,40027
Clinch,Clinch County,Georgia,13065
Clinton,Clinton County,Illinois,17027
Clinton,Clinton County,Indiana,18023
Clinton,Clinton County,Iowa,19045
Clinton,Clinton County,Kentucky,21053
Clinton,Clinton County,Michigan,26037
Clinton,Clinton County,Missouri,29049
Clinton,Clinton County,New York,36019
Clinton,Clinton County,Ohio,39027
Clinton,Clinton County,Pennsylvania,42035
Cloud,Cloud County,Kansas,20029
Coahoma,Coahoma County,Mississippi,28027
Coal,Coal County,Oklahoma,40029
Cobb,Cobb County,Georgia,13067
Cochise,Cochise County,Arizona,4003
Cochran,Cochran County,Texas,48079
Cocke,Cocke County,Tennessee,47029
Coconino,Coconino County,Arizona,4005
Codington,Codington County,South Dakota,46029
Coffee,Coffee County,Alabama,1031
Coffee,Coffee County,Georgia,13069
Coffee,Coffee County,Tennessee,47031
Coffey,Coffey County,Kansas,20031
Coke,Coke County,Texas,48081
Colbert,Colbert County,Alabama,1033
Cole,Cole County,Missouri,29051
Coleman,Coleman County,Texas,48083
Coles,Coles County,Illinois,17029
Colfax,Colfax County,Nebraska,31037
Colfax,Colfax County,New Mexico,35007
Colleton,Colleton County,South Carolina,45029
Collier,Collier County,Florida,12021
Collin,Collin County,Texas,48085
Collingsworth,Collingsworth County,Texas,48087
Colonial Heights city,Colonial Heights city,Virginia,51570
Colorado,Colorado County,Texas,48089
Colquitt,Colquitt County,Georgia,13071
Columbia,Columbia County,Arkansas,5027
Columbia,Columbia County,Florida,12023
Columbia,Columbia County,Georgia,13073
Columbia,Columbia County,New York,36021
Columbia,Columbia County,Oregon,41009
Columbia,Columbia County,Pennsylvania,42037
Columbia,Columbia County,Washington,53013
Columbia,Columbia County,Wisconsin,55021
Columbiana,Columbiana County,Ohio,39029
Columbus,Columbus County,North Carolina,37047
Colusa,Colusa County,California,6011
Comal,Comal County,Texas,48091
Comanche,Comanche County,Kansas,20033
Comanche,Comanche County,Oklahoma,40031
Comanche,Comanche County,Texas,48093
Concho,Concho County,Texas,48095
Concordia,Concordia Parish,Louisiana,22029
Conecuh,Conecuh County,Alabama,1035
Conejos,Conejos County,Colorado,8021
Contra Costa,Contra Costa County,California,6013
Converse,Converse County,Wyoming,56009
Conway,Conway County,Arkansas,5029
Cook,Cook County,Georgia,13075
Cook,Cook County,Illinois,17031
Cooke,Cooke County,Texas,48097
Cooper,Cooper County,Missouri,29053
Coos,Coos County,New Hampshire,33007
Coos,Coos County,Oregon,41011
Coosa,Coosa County,Alabama,1037
Copiah,Copiah County,Mississippi,28029
Corson,Corson County,South Dakota,46031
Cortland,Cortland County,New York,36023
Coryell,Coryell County,Texas,48099
Coshocton,Coshocton County,Ohio,39031
Costilla,Costilla County,Colorado,8023
Cottle,Cottle County,Texas,48101
Cotton,Cotton County,Oklahoma,40033
Cottonwood,Cottonwood County,Minnesota,27033
Covington,Covington County,Alabama,1039
Covington,Covington County,Mississippi,28031
Covington city,Covington city,Virginia,51580
Coweta,Coweta County,Georgia,13077
Cowley,Cowley County,Kansas,20035
Cowlitz,Cowlitz County,Washington,53015
Craig,Craig County,Oklahoma,40035
Craig,Craig County,Virginia,51045
Craighead,Craighead County,Arkansas,5031
Crane,Crane County,Texas,48103
Craven,Craven County,North Carolina,37049
Crawford,Crawford County,Arkansas,5033
Crawford,Crawford County,Georgia,13079
Crawford,Crawford County,Illinois,17033
Crawford,Crawford County,Indiana,18025
Crawford,Crawford County,Iowa,19047
Crawford,Crawford County,Kansas,20037
Crawford,Crawford County,Michigan,26039
Crawford,Crawford County,Missouri,29055
Crawford,Crawford County,Ohio,39033
Crawford,Crawford County,Pennsylvania,42039
Crawford,Crawford County,Wisconsin,55023
Creek,Creek County,Oklahoma,40037
Crenshaw,Crenshaw County,Alabama,1041
Crisp,Crisp County,Georgia,13081
Crittenden,Crittenden County,Arkansas,5035
Crittenden,Crittenden County,Kentucky,21055
Crockett,Crockett County,Tennessee,47033
Crook,Crook County,Oregon,41013
Crook,Crook County,Wyoming,56011
Crosby,Crosby County,Texas,48107
Cross,Cross County,Arkansas,5037
Crow Wing,Crow Wing County,Minnesota,27035
Crowley,Crowley County,Colorado,8025
Cullman,Cullman County,Alabama,1043
Culpeper,Culpeper County,Virginia,51047
Cumberland,Cumberland County,Illinois,17035
Cumberland,Cumberland County,Kentucky,21057
Cumberland,Cumberland County,Maine,23005
Cumberland,Cumberland County,New Jersey,34011
Cumberland,Cumberland County,North Carolina,37051
Cumberland,Cumberland County,Pennsylvania,42041
Cumberland,Cumberland County,Tennessee,47035
Cumberland,Cumberland County,Virginia,51049
Cuming,Cuming County,Nebraska,31039
Currituck,Currituck County,North Carolina,37053
Curry,Curry County,New Mexico,35009
Curry,Curry County,Oregon,41015
Custer,Custer County,Colorado,8027
Custer,Custer County,Idaho,16037
Custer,Custer County,Nebraska,31041
Custer,Custer County,Oklahoma,40039
Cuyahoga,Cuyahoga County,Ohio,39035
Dade,Dade County,Georgia,13083
Dakota,Dakota County,Minnesota,27037
Dakota,Dakota County,Nebraska,31043
Dale,Dale County,Alabama,1045
Dallam,Dallam County,Texas,48111
Dallas,Dallas County,Alabama,1047
Dallas,Dallas County,Arkansas,5039
Dallas,Dallas County,Iowa,19049
Dallas,Dallas County,Missouri,29059
Dallas,Dallas County,Texas,48113
Dane,Dane County,Wisconsin,55025
Danville city,Danville city,Virginia,51590
Dare,Dare County,North Carolina,37055
Darke,Darke County,Ohio,39037
Darlington,Darlington County,South Carolina,45031
Dauphin,Dauphin County,Pennsylvania,42043
Davidson,Davidson County,North Carolina,37057
Davidson,Davidson County,Tennessee,47037
Davie,Davie County,North Carolina,37059
Daviess,Daviess County,Indiana,18027
Daviess,Daviess County,Kentucky,21059
Daviess,Daviess County,Missouri,29061
Davis,Davis County,Iowa,19051
Davis,Davis County,Utah,49011
Davison,Davison County,South Dakota,46035
Dawes,Dawes County,Nebraska,31045
Dawson,Dawson County,Georgia,13085
Dawson,Dawson County,Nebraska,31047
Dawson,Dawson County,Texas,48115
Day,Day County,South Dakota,46037
De Soto,De Soto Parish,Louisiana,22031
De Witt,De Witt County,Illinois,17039
Deaf Smith,Deaf Smith County,Texas,48117
Dearborn,Dearborn County,Indiana,18029
Decatur,Decatur County,Georgia,13087
Decatur,Decatur County,Indiana,18031
Decatur,Decatur County,Iowa,19053
Decatur,Decatur County,Tennessee,47039
Deer Lodge,Deer Lodge County,Montana,30023
Defiance,Defiance County,Ohio,39039
DeKalb,DeKalb County,Alabama,1049
DeKalb,DeKalb County,Georgia,13089
DeKalb,DeKalb County,Illinois,17037
DeKalb,DeKalb County,Indiana,18033
DeKalb,DeKalb County,Missouri,29063
DeKalb,DeKalb County,Tennessee,47041
Del Norte,Del Norte County,California,6015
Delaware,Delaware County,Indiana,18035
Delaware,Delaware County,Iowa,19055
Delaware,Delaware County,New York,36025
